"$AA,"
"$AAPL,"
"$AMZN,"
"$ARLP,"
"$AXON,"
"$BAC,"
"$BAM,"
"$BAMR,"
"$BBU,"
"$BBU.CA,"
"$BHP,"
"$BKC,"
"$BKM,"
"$BKNG,"
"$BP,"
"$CRM,"
"$DIS,"
"$ELY,"
"$ENB,"
"$EQR,"
"$EXPE,"
"$FB,"
"$FC,"
"$FSX,"
"$GDDY,"
"$GEO,"
"$GM,"
"$GS,"
"$GSCCF,"
"$HAYN,"
"$HD,"
"$JPM,"
"$KO,"
"$LAC,"
"$LAC.CA,"
"$NFLX,"
"$NKE,"
"$NWSA,"
"$NWSA.O,"
"$PBI,"
"$PBR,"
"$PBR,"
"$PEP,"
"$RIO,"
"$RL,"
"$TWTR,"
"$VA,"
"$VALE,"
"$WFC,"
